Success 172, Errors 0, Ignores 0
Success 172: 
token type keyword, token value is "int", line number is 5
token type identify, token value is "n", line number is 5
token type separation, token value is ";", line number is 5
token type keyword, token value is "real", line number is 6
token type identify, token value is "a", line number is 6
token type arraystart, token value is "[", line number is 6
token type integer, token value is "128", line number is 6
token type arrayend, token value is "]", line number is 6
token type separation, token value is ";", line number is 6
token type keyword, token value is "real", line number is 7
token type identify, token value is "tmp", line number is 7
token type separation, token value is ";", line number is 7
token type keyword, token value is "int", line number is 8
token type identify, token value is "i", line number is 8
token type separation, token value is ";", line number is 8
token type keyword, token value is "int", line number is 9
token type identify, token value is "j", line number is 9
token type separation, token value is ";", line number is 9
token type keyword, token value is "int", line number is 10
token type identify, token value is "k", line number is 10
token type separation, token value is ";", line number is 10
token type keyword, token value is "read", line number is 11
token type parenthesis, token value is "(", line number is 11
token type identify, token value is "n", line number is 11
token type parenthesis, token value is ")", line number is 11
token type separation, token value is ";", line number is 11
token type keyword, token value is "if", line number is 12
token type parenthesis, token value is "(", line number is 12
token type identify, token value is "n", line number is 12
token type comparation, token value is "<", line number is 12
token type integer, token value is "128", line number is 12
token type parenthesis, token value is ")", line number is 12
token type separation, token value is "{", line number is 12
token type identify, token value is "i", line number is 13
token type operator, token value is "=", line number is 13
token type integer, token value is "0", line number is 13
token type separation, token value is ";", line number is 13
token type keyword, token value is "while", line number is 14
token type parenthesis, token value is "(", line number is 14
token type identify, token value is "i", line number is 14
token type comparation, token value is "<", line number is 14
token type identify, token value is "n", line number is 14
token type parenthesis, token value is ")", line number is 14
token type separation, token value is "{", line number is 14
token type keyword, token value is "read", line number is 15
token type parenthesis, token value is "(", line number is 15
token type identify, token value is "a", line number is 15
token type arraystart, token value is "[", line number is 15
token type identify, token value is "i", line number is 15
token type arrayend, token value is "]", line number is 15
token type parenthesis, token value is ")", line number is 15
token type separation, token value is ";", line number is 15
token type identify, token value is "i", line number is 16
token type operator, token value is "=", line number is 16
token type identify, token value is "i", line number is 16
token type computing, token value is "+", line number is 16
token type integer, token value is "1", line number is 16
token type separation, token value is ";", line number is 16
token type separation, token value is "}", line number is 17
token type identify, token value is "i", line number is 18
token type operator, token value is "=", line number is 18
token type integer, token value is "0", line number is 18
token type separation, token value is ";", line number is 18
token type keyword, token value is "while", line number is 19
token type parenthesis, token value is "(", line number is 19
token type identify, token value is "i", line number is 19
token type comparation, token value is "<", line number is 19
token type identify, token value is "n", line number is 19
token type computing, token value is "-", line number is 19
token type integer, token value is "1", line number is 19
token type parenthesis, token value is ")", line number is 19
token type separation, token value is "{", line number is 19
token type identify, token value is "j", line number is 20
token type operator, token value is "=", line number is 20
token type identify, token value is "i", line number is 20
token type computing, token value is "+", line number is 20
token type integer, token value is "1", line number is 20
token type separation, token value is ";", line number is 20
token type keyword, token value is "while", line number is 21
token type parenthesis, token value is "(", line number is 21
token type identify, token value is "j", line number is 21
token type comparation, token value is "<", line number is 21
token type identify, token value is "n", line number is 21
token type parenthesis, token value is ")", line number is 21
token type separation, token value is "{", line number is 21
token type keyword, token value is "if", line number is 22
token type parenthesis, token value is "(", line number is 22
token type identify, token value is "a", line number is 22
token type arraystart, token value is "[", line number is 22
token type identify, token value is "j", line number is 22
token type arrayend, token value is "]", line number is 22
token type comparation, token value is "<", line number is 22
token type identify, token value is "a", line number is 22
token type arraystart, token value is "[", line number is 22
token type identify, token value is "i", line number is 22
token type arrayend, token value is "]", line number is 22
token type parenthesis, token value is ")", line number is 22
token type separation, token value is "{", line number is 22
token type identify, token value is "tmp", line number is 23
token type operator, token value is "=", line number is 23
token type identify, token value is "a", line number is 23
token type arraystart, token value is "[", line number is 23
token type identify, token value is "j", line number is 23
token type arrayend, token value is "]", line number is 23
token type separation, token value is ";", line number is 23
token type identify, token value is "a", line number is 24
token type arraystart, token value is "[", line number is 24
token type identify, token value is "j", line number is 24
token type arrayend, token value is "]", line number is 24
token type operator, token value is "=", line number is 24
token type identify, token value is "a", line number is 24
token type arraystart, token value is "[", line number is 24
token type identify, token value is "i", line number is 24
token type arrayend, token value is "]", line number is 24
token type separation, token value is ";", line number is 24
token type identify, token value is "a", line number is 25
token type arraystart, token value is "[", line number is 25
token type identify, token value is "i", line number is 25
token type arrayend, token value is "]", line number is 25
token type operator, token value is "=", line number is 25
token type identify, token value is "tmp", line number is 25
token type separation, token value is ";", line number is 25
token type separation, token value is "}", line number is 26
token type identify, token value is "j", line number is 27
token type operator, token value is "=", line number is 27
token type identify, token value is "j", line number is 27
token type computing, token value is "+", line number is 27
token type integer, token value is "1", line number is 27
token type separation, token value is ";", line number is 27
token type separation, token value is "}", line number is 28
token type identify, token value is "i", line number is 29
token type operator, token value is "=", line number is 29
token type identify, token value is "i", line number is 29
token type computing, token value is "+", line number is 29
token type integer, token value is "1", line number is 29
token type separation, token value is ";", line number is 29
token type separation, token value is "}", line number is 30
token type identify, token value is "i", line number is 31
token type operator, token value is "=", line number is 31
token type integer, token value is "0", line number is 31
token type separation, token value is ";", line number is 31
token type keyword, token value is "while", line number is 32
token type parenthesis, token value is "(", line number is 32
token type identify, token value is "i", line number is 32
token type comparation, token value is "<", line number is 32
token type identify, token value is "n", line number is 32
token type parenthesis, token value is ")", line number is 32
token type separation, token value is "{", line number is 32
token type keyword, token value is "write", line number is 33
token type parenthesis, token value is "(", line number is 33
token type identify, token value is "a", line number is 33
token type arraystart, token value is "[", line number is 33
token type identify, token value is "i", line number is 33
token type arrayend, token value is "]", line number is 33
token type parenthesis, token value is ")", line number is 33
token type separation, token value is ";", line number is 33
token type identify, token value is "i", line number is 34
token type operator, token value is "=", line number is 34
token type identify, token value is "i", line number is 34
token type computing, token value is "+", line number is 34
token type integer, token value is "1", line number is 34
token type separation, token value is ";", line number is 34
token type separation, token value is "}", line number is 35
token type separation, token value is "}", line number is 36
token type keyword, token value is "else", line number is 36
token type separation, token value is "{", line number is 36
token type keyword, token value is "write", line number is 37
token type parenthesis, token value is "(", line number is 37
token type integer, token value is "128", line number is 37
token type parenthesis, token value is ")", line number is 37
token type separation, token value is ";", line number is 37
token type separation, token value is "}", line number is 38
Ignore 0: 
Error 0: 
DONE
